ltable_url,ltable_problem_code,rtable_url,rtable_problem_code
http://www.spoj.com/problems/MKTHPATH,,https://www.codechef.com/problems/LEPAPER,
http://www.spoj.com/problems/SWJAM,,https://www.codechef.com/problems/GRETHIEF,
http://www.spoj.com/problems/SAMER08J,,https://www.codechef.com/problems/SSWAP2,
http://www.spoj.com/problems/FLOWERS,,https://www.codechef.com/problems/CHEFHACK,
http://www.spoj.com/problems/GUESS003,,https://www.codechef.com/problems/TF01,
http://www.spoj.com/problems/GRIDSUM3,,https://www.codechef.com/problems/TECH08,
http://www.spoj.com/problems/POLYDRAW,,https://www.codechef.com/problems/CUCUMBER,
http://www.spoj.com/problems/PGAME,,https://www.codechef.com/problems/KAN15RTF,
http://www.spoj.com/problems/HOSPITAL,,https://www.codechef.com/problems/BMASTER,
http://www.spoj.com/problems/DYEL,,https://www.codechef.com/problems/ENERGY,
http://www.spoj.com/problems/KSELECT,,https://www.codechef.com/problems/RGAME,
http://www.spoj.com/problems/SEGFAULT,,https://www.codechef.com/problems/CHEFHACK,
http://www.spoj.com/problems/LOGIC2,,https://www.codechef.com/problems/HOB,
http://www.spoj.com/problems/SSEQ,,https://www.codechef.com/problems/TEAMSIZE,
http://www.spoj.com/problems/CTOI09_1,,https://www.codechef.com/problems/A6,
http://www.spoj.com/problems/SPLIT,,https://www.codechef.com/problems/IOPC13I,
http://www.spoj.com/problems/ZOO,,https://www.codechef.com/problems/FLUSHOT,
http://www.spoj.com/problems/STRSOCU,,https://www.codechef.com/problems/NOLOGIC,
http://www.spoj.com/problems/MAUMAU,,https://www.codechef.com/problems/CREDCJ2,
http://www.spoj.com/problems/GCPC11I,,https://www.codechef.com/problems/CROSSES,
http://www.spoj.com/problems/UCV2013E,,https://www.codechef.com/problems/BMASTER,
http://www.spoj.com/problems/PERMUT3,,https://www.codechef.com/problems/LARGEN,
http://www.spoj.com/problems/TAP2013J,,https://www.codechef.com/problems/IOPC14D,
http://www.spoj.com/problems/TAP2012G,,https://www.codechef.com/problems/CHEFBOOK,
http://www.spoj.com/problems/GMLIFE,,https://www.codechef.com/problems/HOB,
http://www.spoj.com/problems/MAIN71,,https://www.codechef.com/problems/LOC02,
http://www.spoj.com/problems/MGAME,,https://www.codechef.com/problems/ICLFIN01,
